Customer_ID,Customer_Name,Segment,Age_Group,Gender,City,State,Country,Signup_Date,Loyalty_Points
1000,Customer_1000,Home Office,36-50,Female,Chennai,WB,India,2021-01-09,8148
1001,Customer_1001,Consumer,18-25,Male,Chennai,WB,India,2023-10-26,3620
1002,Customer_1002,Home Office,36-50,Male,Chennai,DL,India,2023-04-27,9131
1003,Customer_1003,Home Office,50+,Male,Delhi,KA,India,2024-02-12,3709
1004,Customer_1004,Consumer,50+,Male,Delhi,WB,India,2023-02-16,4337
1005,Customer_1005,Consumer,18-25,Female,Chennai,TN,India,2022-11-16,5094
1006,Customer_1006,Home Office,36-50,Male,Bangalore,KA,India,2023-01-02,9415
1007,Customer_1007,Corporate,36-50,Female,Mumbai,WB,India,2024-05-13,7472
1008,Customer_1008,Home Office,50+,Female,Kolkata,TN,India,2021-01-24,3363
1009,Customer_1009,Home Office,18-25,Male,Delhi,DL,India,2022-05-08,3023
1010,Customer_1010,Home Office,36-50,Female,Chennai,TN,India,2023-08-28,1817
1011,Customer_1011,Home Office,50+,Male,Kolkata,WB,India,2024-11-30,683
1012,Customer_1012,Consumer,26-35,Female,Delhi,MH,India,2021-04-13,5507
1013,Customer_1013,Home Office,18-25,Female,Mumbai,WB,India,2023-12-20,6731
1014,Customer_1014,Corporate,26-35,Male,Bangalore,MH,India,2024-01-15,9424
1015,Customer_1015,Consumer,18-25,Female,Chennai,DL,India,2023-02-06,8808
1016,Customer_1016,Corporate,50+,Female,Mumbai,DL,India,2023-10-20,2910
1017,Customer_1017,Corporate,36-50,Male,Delhi,KA,India,2022-01-07,2017
1018,Customer_1018,Corporate,36-50,Female,Chennai,KA,India,2022-11-10,4223
1019,Customer_1019,Corporate,36-50,Female,Kolkata,MH,India,2022-08-19,2184
1020,Customer_1020,Consumer,18-25,Male,Bangalore,MH,India,2021-07-21,1357
1021,Customer_1021,Consumer,50+,Male,Delhi,DL,India,2021-03-30,6691
1022,Customer_1022,Corporate,26-35,Female,Bangalore,TN,India,2022-03-13,6531
1023,Customer_1023,Corporate,50+,Female,Chennai,MH,India,2021-04-30,4666
1024,Customer_1024,Consumer,26-35,Female,Mumbai,MH,India,2021-06-05,7397
1025,Customer_1025,Consumer,18-25,Male,Bangalore,TN,India,2022-02-03,2468
1026,Customer_1026,Consumer,18-25,Female,Kolkata,KA,India,2021-07-07,7291
1027,Customer_1027,Home Office,26-35,Female,Delhi,KA,India,2023-12-12,7255
1028,Customer_1028,Home Office,26-35,Female,Kolkata,MH,India,2022-10-14,3920
1029,Customer_1029,Home Office,26-35,Female,Bangalore,KA,India,2022-08-10,4236
1030,Customer_1030,Corporate,50+,Female,Mumbai,KA,India,2021-08-18,1939
1031,Customer_1031,Home Office,26-35,Female,Mumbai,KA,India,2024-02-28,3856
1032,Customer_1032,Corporate,18-25,Male,Kolkata,DL,India,2021-02-24,50
1033,Customer_1033,Corporate,18-25,Male,Chennai,WB,India,2021-09-28,7130
1034,Customer_1034,Home Office,36-50,Female,Chennai,MH,India,2024-01-29,1360
1035,Customer_1035,Corporate,26-35,Female,Mumbai,MH,India,2023-12-29,6805
1036,Customer_1036,Home Office,50+,Male,Kolkata,DL,India,2024-08-15,8557
1037,Customer_1037,Home Office,50+,Male,Kolkata,WB,India,2023-08-28,6030
1038,Customer_1038,Consumer,50+,Male,Kolkata,WB,India,2024-10-09,3045
1039,Customer_1039,Home Office,36-50,Female,Bangalore,DL,India,2024-03-21,257
1040,Customer_1040,Consumer,18-25,Female,Chennai,TN,India,2021-11-26,44
1041,Customer_1041,Home Office,50+,Female,Chennai,TN,India,2021-04-26,8460
1042,Customer_1042,Home Office,18-25,Female,Bangalore,WB,India,2021-11-19,1334
1043,Customer_1043,Consumer,36-50,Male,Delhi,TN,India,2022-07-17,671
1044,Customer_1044,Consumer,26-35,Male,Bangalore,TN,India,2021-08-17,7000
1045,Customer_1045,Home Office,26-35,Male,Kolkata,TN,India,2021-12-26,3638
1046,Customer_1046,Corporate,26-35,Male,Bangalore,WB,India,2023-10-26,6085
1047,Customer_1047,Consumer,50+,Female,Kolkata,TN,India,2021-01-28,234
1048,Customer_1048,Corporate,26-35,Female,Mumbai,MH,India,2024-10-19,6834
1049,Customer_1049,Corporate,50+,Male,Kolkata,WB,India,2024-06-08,3207
1050,Customer_1050,Corporate,36-50,Male,Chennai,DL,India,2024-11-19,5564
1051,Customer_1051,Consumer,36-50,Male,Bangalore,TN,India,2023-05-19,2400
1052,Customer_1052,Corporate,50+,Male,Kolkata,KA,India,2024-07-18,9609
1053,Customer_1053,Consumer,18-25,Male,Delhi,WB,India,2024-08-20,5089
1054,Customer_1054,Corporate,26-35,Female,Mumbai,DL,India,2024-11-07,7551
1055,Customer_1055,Home Office,26-35,Female,Delhi,MH,India,2021-01-28,5005
1056,Customer_1056,Home Office,26-35,Male,Delhi,DL,India,2023-01-14,7490
1057,Customer_1057,Consumer,50+,Male,Delhi,TN,India,2024-05-07,7740
1058,Customer_1058,Home Office,36-50,Male,Mumbai,KA,India,2024-01-11,8631
1059,Customer_1059,Home Office,26-35,Female,Mumbai,TN,India,2024-01-17,5182
1060,Customer_1060,Corporate,36-50,Female,Mumbai,DL,India,2024-11-14,650
1061,Customer_1061,Consumer,26-35,Female,Mumbai,WB,India,2022-08-03,33
